CategoryName	CategoryType	CounterName	CounterType
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000000ms & <000001ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000000ms & <000001ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000000ms & <000001ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000000ms & <000001ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000001ms & <000002ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000001ms & <000002ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000001ms & <000002ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000001ms & <000002ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000002ms & <000005ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000002ms & <000005ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000002ms & <000005ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000002ms & <000005ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000005ms & <000010ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000005ms & <000010ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000005ms & <000010ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000005ms & <000010ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000010ms & <000020ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000010ms & <000020ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000010ms & <000020ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000010ms & <000020ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000020ms & <000050ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000020ms & <000050ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000020ms & <000050ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000020ms & <000050ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000050ms & <000100ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000050ms & <000100ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000050ms & <000100ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000050ms & <000100ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000100ms & <000200ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000100ms & <000200ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000100ms & <000200ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=000100ms & <000200ms	NumberOfItems64
